Beer,Score
Pickle Sour,0
Clorox,1
Lysol,1.1
Coors Edge (NA),1.3
Bud Light Platinum,2
Jack,2
Michelob Ultra Pure,3
Dos Equis,3.9
Brut IPA,4
Natural Light,4.1
Bud Light,4.3
Budweiser,4.7
Truly,5.5
Great White Beer,6
Stawski,6
Summer Solstice,6
NuCrepes Campfire,6
New England Style IPA,6
Britos Bulgarian Lager,6
King Cobra,6
Coca Cola,6
Red,6.5
Beerloa,6.5
Corona,6.5
Lagunitas Lucky 13,6.5
Great Lakes Christmas Ale,6.8
Session Boldly,7
7 Seas Brewing Company,7
Dank Detector,7
Lagunitas Day Time IPA,7
Hacker Pschorr Weissebier,7
Panda Party,7
Tacocat - Finch Beer Co,7
The Great Indoors,7
Busch Light,7
Iron Maiden Trooper Beer,7
"Salmon Pants, Warpigs",7
Kolsch with Asian Pear,7
Extra Pale Ale 420,7
Pipeworks: Lizard Kings,7.5
Shortfuse El Suave,7.5
Noon Whistle,7.5
Strawberry Basil,7.5
Nigori Coconut,7.5
Pineapple Orange Double IPA,7.5
Giggly Blonde Very Light,7.5
Sleigh'r Winter Ale,7.5
Distihl Sour Series: Pina Colada Gose,7.8
Export Stout Raspberry Sour,7.9
Billy Frogg Local Beers,8
Sister of the Moon,8
Chocolate Shake,8
El Chavo: Habenero and Mango,8
Cloud Formations,8
Hopewell,8
First Lager,8
Floridaweiss,8
"Saison, Forbidden Root",8
Free the IPL,8
Love Tap IPA,8
Corona Hard Seltzer,8
Export Stout Smooth,8
Hazy Memory ,8
Hanelei IPA,8
Japanese Old Fashioned,8
"Great Coffee Ale, Pipeworks",8
Official,8
Giggly Blonde Blackberry IPA,8.2
Son of Juice: Maywood Brewing,8.3
Blood Orange IPA,8.5
Granville Island Honey Lager,8.5
Paper Umbrella,8.5
Fruited Zitrones,8.5
Black Raven Kitty Kat Blues,8.5
Pith ,8.5
Dead Guy Ale Rogue,8.67
Irish Car Bomb,9
Super Cluster ,9
Lagunitas Hazy Wonder,9
Fools Gold,9
Awakened One,9
American Double IPA,9
Lagunitas,9
Lavender Lemon Gose,9
Splash APA,10
Lagunitas Phase Change,10
Vizzy Hard Seltzer,10
Black Raspberry Sorbaze,10
Hendricks and Binny's,10
Wet Hop Hazy IPA,10
Members Mark ,10